month,no_edit,property_stat
2013-09-30,4,P10
2014-08-31,5,P10
2014-11-30,4,P10
2015-11-30,7,P10
2016-05-31,3,P10
2014-07-31,4,P100
2016-06-30,3,P100
2014-05-31,3,P1000
2013-06-30,3,P1001
2013-08-31,3,P1001
2013-10-31,3,P1001
2014-06-30,13,P1001
2014-07-31,11,P1001
2014-08-31,4,P1001
2015-01-31,4,P1001
2015-05-31,14,P1001
2015-11-30,3,P1001
2016-05-31,3,P1001
2016-08-31,3,P1001
2014-05-31,3,P1003
2014-08-31,5,P1004
2013-06-30,3,P1005
2014-01-31,3,P1005
2014-10-31,3,P1005
2014-11-30,3,P1005
2013-02-28,3,P1006
2013-06-30,3,P1006
2013-08-31,8,P1006
2013-10-31,4,P1006
2013-11-30,3,P1006
2014-02-28,8,P1006
2014-03-31,3,P1006
2014-04-30,3,P1006
2014-06-30,9,P1006
2014-07-31,3,P1006
2014-08-31,14,P1006
2014-09-30,10,P1006
2014-10-31,3,P1006
2014-11-30,9,P1006
2015-01-31,3,P1006
2015-02-28,3,P1006
2015-04-30,12,P1006
2015-05-31,12,P1006
2015-06-30,6,P1006
2015-08-31,3,P1006
2015-10-31,3,P1006
2015-11-30,6,P1006
2016-02-29,3,P1006
2016-03-31,3,P1006
2013-04-30,11,P101
2013-06-30,6,P101
2013-07-31,6,P101
2013-08-31,3,P101
2013-09-30,3,P101
2014-03-31,3,P101
2014-06-30,6,P101
2014-07-31,3,P101
2014-08-31,3,P101
2014-09-30,28,P101
2014-10-31,9,P101
2014-11-30,20,P101
2015-01-31,4,P101
2015-05-31,6,P101
2015-08-31,3,P101
2015-10-31,3,P101
2015-11-30,11,P101
2015-12-31,3,P101
2016-01-31,3,P101
2016-02-29,3,P101
2016-03-31,4,P101
2016-04-30,5,P101
2016-06-30,5,P101
2013-06-30,3,P1014
2014-04-30,3,P1014
2014-08-31,6,P1014
2014-09-30,18,P1014
2014-10-31,6,P1014
2014-11-30,6,P1014
2015-05-31,8,P1014
2015-08-31,3,P1014
2015-09-30,6,P1014
2016-01-31,3,P1014
2016-07-31,3,P1014
2013-06-30,6,P1015
2013-07-31,9,P1015
2013-08-31,12,P1015
2013-09-30,6,P1015
2013-10-31,3,P1015
2013-11-30,3,P1015
2013-12-31,9,P1015
2014-01-31,12,P1015
2014-02-28,3,P1015
2014-05-31,4,P1015
2014-06-30,33,P1015
2014-07-31,12,P1015
2014-08-31,12,P1015
2014-09-30,12,P1015
2014-10-31,24,P1015
2014-11-30,26,P1015
2014-12-31,3,P1015
2015-01-31,3,P1015
2015-02-28,6,P1015
2015-03-31,6,P1015
2015-04-30,10,P1015
2015-05-31,9,P1015
2015-06-30,4,P1015
2015-08-31,9,P1015
2015-11-30,10,P1015
2015-12-31,3,P1015
2016-01-31,3,P1015
2016-02-29,3,P1015
2016-04-30,12,P1015
2016-05-31,3,P1015
2016-06-30,3,P1015
2013-06-30,6,P1017
2014-06-30,3,P1017
2014-11-30,6,P1017
2015-02-28,3,P1017
2015-03-31,4,P1017
2015-04-30,3,P1017
2015-11-30,6,P1017
2015-12-31,11,P1017
2014-11-30,3,P1018
2014-09-30,4,P1019
2015-11-30,3,P1019
2013-03-31,3,P102
2013-04-30,6,P102
2013-05-31,6,P102
2013-06-30,23,P102
2013-07-31,3,P102
2013-08-31,19,P102
2013-10-31,10,P102
2013-11-30,3,P102
2014-01-31,6,P102
2014-02-28,6,P102
2014-03-31,12,P102
2014-04-30,6,P102
2014-05-31,3,P102
2014-06-30,25,P102
2014-07-31,31,P102
2014-08-31,31,P102
2014-09-30,20,P102
2014-10-31,6,P102
2014-11-30,28,P102
2014-12-31,3,P102
2015-01-31,6,P102
2015-02-28,7,P102
2015-03-31,9,P102
2015-04-30,16,P102
2015-05-31,10,P102
2015-06-30,6,P102
2015-07-31,10,P102
2015-08-31,10,P102
2015-09-30,12,P102
2015-10-31,8,P102
2015-11-30,22,P102
2015-12-31,6,P102
2016-01-31,6,P102
2016-02-29,9,P102
2016-03-31,3,P102
2016-04-30,3,P102
2016-05-31,8,P102
2016-06-30,3,P102
2016-07-31,6,P102
2016-08-31,3,P102
2016-09-30,6,P102
2014-09-30,4,P1025
2016-01-31,5,P1025
2016-05-31,3,P1025
2014-10-31,3,P1029
2015-05-31,3,P1029
2015-09-30,3,P1029
2015-11-30,3,P1029
2013-05-31,3,P103
2013-06-30,17,P103
2013-08-31,6,P103
2013-09-30,3,P103
2013-10-31,3,P103
2013-11-30,3,P103
2014-01-31,7,P103
2014-02-28,3,P103
2014-03-31,5,P103
2014-04-30,3,P103
2014-05-31,3,P103
2014-06-30,3,P103
2014-07-31,17,P103
2014-08-31,10,P103
2014-09-30,8,P103
2014-10-31,11,P103
2014-11-30,25,P103
2014-12-31,3,P103
2015-01-31,3,P103
2015-04-30,8,P103
2015-05-31,25,P103
2015-06-30,9,P103
2015-07-31,6,P103
2015-08-31,5,P103
2015-10-31,9,P103
2015-11-30,27,P103
2015-12-31,3,P103
2016-02-29,9,P103
2016-04-30,6,P103
2016-06-30,3,P103
2016-08-31,3,P103
2013-10-31,3,P1030
2016-03-31,3,P1030
2013-05-31,3,P1031
2013-08-31,3,P1031
2015-05-31,3,P1031
2015-07-31,4,P1031
2015-09-30,3,P1031
2016-07-31,3,P1031
2013-03-31,3,P1036
2013-05-31,6,P1036
2013-06-30,8,P1036
2013-08-31,27,P1036
2013-09-30,3,P1036
2013-10-31,3,P1036
2013-11-30,7,P1036
2013-12-31,3,P1036
2014-01-31,3,P1036
2014-03-31,6,P1036
2014-04-30,3,P1036
2014-06-30,32,P1036
2014-08-31,35,P1036
2014-09-30,41,P1036
2014-10-31,22,P1036
2014-11-30,14,P1036
2014-12-31,9,P1036
2015-01-31,8,P1036
2015-02-28,15,P1036
2015-03-31,3,P1036
2015-04-30,15,P1036
2015-05-31,13,P1036
2015-06-30,5,P1036
2015-07-31,3,P1036
2015-08-31,10,P1036
2015-10-31,18,P1036
2015-11-30,3,P1036
2015-12-31,4,P1036
2016-01-31,3,P1036
2016-02-29,3,P1036
2016-05-31,3,P1036
2016-07-31,6,P1036
2016-09-30,8,P1036
2013-07-31,3,P1037
2014-09-30,3,P1037
2014-10-31,3,P1037
2013-06-30,3,P1038
2013-08-31,6,P1038
2014-07-31,6,P1038
2014-08-31,9,P1038
2014-09-30,16,P1038
2015-05-31,3,P1038
2015-07-31,6,P1038
2015-10-31,3,P1038
2015-12-31,3,P1038
2016-08-31,6,P1040
2014-05-31,3,P1044
2014-08-31,3,P1045
2016-02-29,3,P1045
2014-02-28,3,P1046
2013-08-31,3,P1047
2014-09-30,3,P1047
2015-02-28,3,P1047
2015-04-30,3,P1047
2015-06-30,3,P1047
2015-08-31,3,P1047
2015-11-30,3,P1047
2014-07-31,3,P1049
2013-02-28,6,P105
2013-03-31,14,P105
2013-04-30,13,P105
2013-05-31,22,P105
2013-06-30,53,P105
2013-07-31,6,P105
2013-08-31,65,P105
2013-09-30,46,P105
2013-10-31,40,P105
2013-11-30,56,P105
2013-12-31,9,P105
2014-01-31,27,P105
2014-02-28,21,P105
2014-03-31,7,P105
2014-04-30,19,P105
2014-05-31,24,P105
2014-06-30,109,P105
2014-07-31,58,P105
2014-08-31,115,P105
2014-09-30,157,P105
2014-10-31,81,P105
2014-11-30,87,P105
2014-12-31,23,P105
2015-01-31,27,P105
2015-02-28,15,P105
2015-03-31,50,P105
2015-04-30,60,P105
2015-05-31,34,P105
2015-06-30,35,P105
2015-07-31,38,P105
2015-08-31,90,P105
2015-09-30,42,P105
2015-10-31,58,P105
2015-11-30,89,P105
2015-12-31,35,P105
2016-01-31,12,P105
2016-02-29,39,P105
2016-03-31,28,P105
2016-04-30,15,P105
2016-05-31,21,P105
2016-06-30,9,P105
2016-07-31,14,P105
2016-08-31,10,P105
2016-09-30,6,P105
2013-05-31,3,P1050
2013-12-31,3,P1050
2014-04-30,3,P1050
