"stat_property","month_edit","no_statement","no_claim","stat_claim_ratio"
"P128","2016-09",1,1178,1178
"P698","2014-10",2,170,85
"P530","2013-07",1,79,79
"P370","2016-05",1,62,62
"P530","2015-08",2,124,62
"P530","2013-09",1,60,60
"P638","2013-08",4,205,51.25
"P150","2015-06",131,6556,50.0458015267176
"P1072","2015-12",2,99,49.5
"P1445","2016-06",1,46,46
"P1891","2016-09",4,175,43.75
"P1073","2015-12",2,86,43
"P686","2014-10",2,82,41
"P1539","2015-03",1,40,40
"P1540","2015-03",1,40,40
"P710","2016-06",165,6590,39.9393939393939
"P453","2015-07",3,118,39.3333333333333
"P710","2014-12",120,4611,38.425
"P682","2013-08",8,306,38.25
"P1891","2016-02",1,37,37
"P1075","2014-05",4,146,36.5
"P530","2014-03",1,35,35
"P492","2015-01",3,103,34.3333333333333
"P767","2015-02",13,434,33.3846153846154
"P1891","2015-07",3,100,33.3333333333333
"P710","2016-10",3,99,33
"P150","2015-03",877,26717,30.4640820980616
"P2645","2016-04",1,28,28
"P2587","2016-03",1,27,27
"P100","2013-04",11,286,26
"P1302","2015-12",1,26,26
"P530","2016-04",4,97,24.25
"P1193","2015-07",1,24,24
"P1075","2014-06",2,46,23
"P128","2016-04",1,23,23
"P780","2016-02",10,230,23
"P769","2014-11",3,64,21.3333333333333
"P134","2013-09",2,42,21
"P1395","2015-01",2,42,21
"P2093","2015-11",493,10320,20.9330628803245
"P2236","2016-09",6,122,20.3333333333333
"P1198","2015-04",1,20,20
"P1923","2016-10",3,57,19
"P2196","2016-04",2,38,19
"P769","2014-09",93,1766,18.989247311828
"P1923","2015-08",14,265,18.9285714285714
"P453","2015-06",6,113,18.8333333333333
"P2240","2016-03",1,18,18
"P1346","2015-11",383,6840,17.8590078328982
"P1923","2016-02",30,533,17.7666666666667
"P1923","2015-06",16,279,17.4375
"P521","2013-05",5,87,17.4
"P150","2013-08",6368,109080,17.1293969849246
"P710","2013-12",52,882,16.9615384615385
"P710","2014-01",28,472,16.8571428571429
"P682","2013-09",1588,26742,16.8400503778338
"P639","2013-07",6,101,16.8333333333333
"P150","2013-10",205,3427,16.7170731707317
"P150","2013-09",5974,99551,16.6640441914965
"P1923","2015-10",24,394,16.4166666666667
"P710","2015-10",116,1870,16.1206896551724
"P100","2013-02",28,451,16.1071428571429
"P1279","2016-07",1,16,16
"P1302","2014-05",1,16,16
"P658","2013-06",1,16,16
"P150","2013-06",269,4295,15.9665427509294
"P1923","2015-12",30,478,15.9333333333333
"P1990","2015-07",179,2841,15.8715083798883
"P710","2013-08",27,427,15.8148148148148
"P2284","2016-07",6,93,15.5
"P1923","2016-08",366,5661,15.4672131147541
"P493","2015-01",7,108,15.4285714285714
"P1891","2015-10",3,46,15.3333333333333
"P453","2013-07",3,46,15.3333333333333
"P530","2015-04",3,46,15.3333333333333
"P2196","2016-01",4,61,15.25
"P150","2015-07",73,1109,15.1917808219178
"P100","2013-03",6,91,15.1666666666667
"P1806","2016-09",1,15,15
"P453","2015-08",1,15,15
"P682","2015-09",2,30,15
"P1346","2015-12",405,6050,14.9382716049383
"P1923","2016-09",121,1805,14.9173553719008
"P150","2013-07",38993,577101,14.800117969892
"P1891","2015-05",8,115,14.375
"P710","2016-07",126,1806,14.3333333333333
"P710","2013-07",8,114,14.25
"P1106","2015-10",1,14,14
"P1923","2015-09",23,322,14
"P665","2014-10",2,28,14
"P834","2016-05",1,14,14
"P1075","2015-06",5,69,13.8
"P100","2013-08",2,27,13.5
"P704","2015-03",2741,36703,13.3903684786574
"P1538","2015-07",1,13,13
"P199","2015-07",2,26,13
"P150","2013-04",206,2656,12.8932038834951
"P96","2013-02",14,180,12.8571428571429
"P1923","2015-07",17,217,12.7647058823529
"P674","2014-06",9,112,12.4444444444444
"P780","2015-11",43,535,12.4418604651163
"P1990","2016-06",3,37,12.3333333333333
"P150","2015-02",199,2449,12.3065326633166
"P1106","2015-11",1,12,12
"P129","2015-02",1,12,12
"P2236","2016-06",1,12,12
"P2300","2016-03",1,12,12
"P2319","2016-05",1,12,12
"P682","2014-06",1,12,12
"P832","2016-08",1,12,12
"P2240","2016-04",15,179,11.9333333333333
"P2239","2015-11",18,211,11.7222222222222
"P1072","2015-09",2,23,11.5
"P658","2014-02",27,309,11.4444444444444
"P528","2013-07",22,250,11.3636363636364
"P2319","2016-06",3,34,11.3333333333333
"P658","2015-09",3,34,11.3333333333333
"P780","2016-01",23,260,11.304347826087
"P1923","2016-03",40,450,11.25
"P453","2014-03",1,11,11
"P726","2015-08",1,11,11
"P728","2014-09",1,11,11
"P832","2015-04",2,22,11
"P704","2015-01",37,405,10.9459459459459
"P658","2016-08",8,87,10.875
"P1383","2014-12",376,4075,10.8377659574468
"P530","2015-11",5,54,10.8
"P638","2013-09",699,7502,10.7324749642346
"P710","2015-12",250,2654,10.616
"P1923","2015-11",10,106,10.6
"P682","2013-12",509,5394,10.5972495088409
"P2176","2016-02",8,84,10.5
"P2240","2016-06",13,136,10.4615384615385
"P1071","2016-03",15,156,10.4
"P1346","2015-10",408,4213,10.3259803921569
"P2293","2016-05",214,2192,10.2429906542056
"P658","2013-10",6,61,10.1666666666667
"P780","2016-03",17,171,10.0588235294118
"P1450","2014-09",1,10,10
"P3067","2016-09",1,10,10
"P398","2016-08",1,10,10
"P530","2014-10",1,10,10
"P531","2016-08",1,10,10
"P682","2014-08",1,10,10
"P855","2015-01",1,10,10
"P639","2015-03",2099,20907,9.96045736064793
"P1082","2014-08",10473,103235,9.85725198128521
"P2240","2016-05",6,59,9.83333333333333
"P710","2013-11",38,372,9.78947368421053
