"stat_property","month_edit","count"
"P1","2013-03",4
"P10","2013-02",65
"P10","2013-03",25
"P10","2013-04",7
"P10","2013-05",14
"P10","2013-06",11
"P10","2013-07",11
"P10","2013-08",5
"P10","2013-09",5
"P10","2013-12",4
"P10","2014-02",50
"P10","2014-03",36
"P10","2014-04",8
"P10","2014-05",17
"P10","2014-06",5
"P10","2014-07",6
"P10","2014-08",6
"P10","2014-09",5
"P10","2014-10",54
"P10","2014-11",18
"P10","2014-12",4
"P10","2015-01",20
"P10","2015-02",10
"P10","2015-03",24
"P10","2015-04",14
"P10","2015-05",10
"P10","2015-06",5
"P10","2015-07",19
"P10","2015-08",26
"P10","2015-09",300
"P10","2015-10",85
"P10","2015-11",28
"P10","2015-12",31
"P10","2016-01",14
"P10","2016-02",21
"P10","2016-03",11
"P10","2016-04",19
"P10","2016-05",30
"P10","2016-06",20
"P10","2016-07",19
"P10","2016-08",20
"P10","2016-09",26
"P100","2013-02",454
"P100","2013-03",93
"P100","2013-04",287
"P100","2013-05",3
"P100","2013-06",28
"P100","2013-07",3
"P100","2013-08",27
"P1000","2013-11",3
"P1000","2013-12",1
"P1000","2014-08",1
"P1000","2015-05",37
"P1000","2015-06",1
"P1000","2015-10",2
"P1000","2016-05",44
"P1000","2016-07",1
"P1000","2016-08",2
"P1000","2016-09",1
"P1001","2013-10",101
"P1001","2013-11",441
"P1001","2013-12",149
"P1001","2014-01",153
"P1001","2014-02",65
"P1001","2014-03",2924
"P1001","2014-04",44
"P1001","2014-05",2
"P1001","2014-06",18
"P1001","2014-07",17
"P1001","2014-08",15
"P1001","2014-09",52
"P1001","2014-10",30
"P1001","2014-11",75
"P1001","2014-12",23
"P1001","2015-01",69
"P1001","2015-02",29
"P1001","2015-03",73
"P1001","2015-04",91
"P1001","2015-05",175
"P1001","2015-06",190
"P1001","2015-07",50
"P1001","2015-08",312
"P1001","2015-09",2102
"P1001","2015-10",348
"P1001","2015-11",558
"P1001","2015-12",374
"P1001","2016-01",320
"P1001","2016-02",132
"P1001","2016-03",233
"P1001","2016-04",292
"P1001","2016-05",477
"P1001","2016-06",530
"P1001","2016-07",358
"P1001","2016-08",12579
"P1001","2016-09",2987
"P1001","2016-10",19
"P1002","2013-10",21
"P1002","2013-11",187
"P1002","2013-12",27
"P1002","2014-01",8
"P1002","2014-02",14
"P1002","2014-03",16
"P1002","2014-04",8
"P1002","2014-06",1
"P1002","2014-09",60
"P1002","2014-10",1
"P1002","2014-11",1
"P1002","2015-02",12
"P1002","2015-04",11
"P1002","2015-05",1
"P1002","2015-06",3
"P1002","2015-07",15
"P1002","2015-08",12
"P1002","2015-09",9
"P1002","2015-10",7
"P1002","2015-11",1
"P1002","2015-12",1
"P1002","2016-01",3
"P1002","2016-02",1
"P1002","2016-03",21
"P1002","2016-04",2
"P1002","2016-05",2
"P1002","2016-06",5
"P1002","2016-07",1
"P1002","2016-08",7
"P1002","2016-09",15
"P1003","2013-10",74
"P1003","2013-11",11
"P1003","2014-02",1
"P1003","2014-04",1
"P1003","2015-11",107
"P1003","2015-12",114
"P1003","2016-01",61
"P1003","2016-02",27
"P1003","2016-03",43
"P1003","2016-04",97
"P1003","2016-05",61
"P1003","2016-06",29
"P1003","2016-07",19
"P1003","2016-08",428
"P1003","2016-09",66
"P1003","2016-10",2
"P1004","2013-10",7
"P1004","2013-11",6
"P1004","2014-03",5
"P1004","2014-05",3
"P1004","2014-06",1434
"P1004","2014-07",78
"P1004","2014-08",102
"P1004","2014-09",64
"P1004","2014-10",1
"P1004","2014-11",2
"P1004","2014-12",4
"P1004","2015-01",501
"P1004","2015-02",54
"P1004","2015-03",106
"P1004","2015-04",73
"P1004","2015-05",147
"P1004","2015-06",121
"P1004","2015-07",80
"P1004","2015-08",127
"P1004","2015-09",26
"P1004","2015-10",4
"P1004","2015-11",345
"P1004","2015-12",1
"P1004","2016-01",1
"P1004","2016-02",1
"P1004","2016-03",550
"P1004","2016-04",121
"P1004","2016-05",54
"P1004","2016-06",1
"P1004","2016-07",4
"P1005","2013-10",71
"P1005","2013-11",252
"P1005","2013-12",134
"P1005","2014-01",190
"P1005","2014-02",103
"P1005","2014-03",143
"P1005","2014-04",176
"P1005","2014-05",229
"P1005","2014-06",167
"P1005","2014-07",465
"P1005","2014-08",326
"P1005","2014-09",364
"P1005","2014-10",248
"P1005","2014-11",172
"P1005","2014-12",145
"P1005","2015-01",204
"P1005","2015-02",102
"P1005","2015-03",1078
"P1005","2015-04",129
"P1005","2015-05",306
"P1005","2015-06",335
"P1005","2015-07",545
"P1005","2015-08",447
"P1005","2015-09",286
"P1005","2015-10",297
"P1005","2015-11",267
"P1005","2015-12",231
"P1005","2016-01",160
"P1005","2016-02",129
"P1005","2016-03",205
"P1005","2016-04",347
"P1005","2016-05",257
"P1005","2016-06",134
"P1005","2016-07",108
"P1005","2016-08",378
"P1005","2016-09",182
"P1005","2016-10",6
"P1006","2013-10",254
"P1006","2013-11",909
"P1006","2013-12",567
"P1006","2014-01",454
"P1006","2014-02",372
"P1006","2014-03",516
"P1006","2014-04",712
"P1006","2014-05",667
"P1006","2014-06",471
"P1006","2014-07",911
"P1006","2014-08",828
"P1006","2014-09",1044
"P1006","2014-10",803
"P1006","2014-11",831
"P1006","2014-12",111812
"P1006","2015-01",561
"P1006","2015-02",511
"P1006","2015-03",6256
"P1006","2015-04",470
"P1006","2015-05",1242
"P1006","2015-06",1808
"P1006","2015-07",1971
"P1006","2015-08",1200
"P1006","2015-09",1268
"P1006","2015-10",1107
"P1006","2015-11",954
"P1006","2015-12",842
"P1006","2016-01",680
"P1006","2016-02",631
"P1006","2016-03",742
"P1006","2016-04",1062
"P1006","2016-05",646
"P1006","2016-06",566
"P1006","2016-07",613
"P1006","2016-08",1105
"P1006","2016-09",800
"P1006","2016-10",27
"P1007","2013-10",1
"P1007","2013-11",2
"P1007","2014-12",3
"P1007","2015-04",2
"P1007","2015-08",1
"P1007","2015-10",3
"P1007","2016-05",2
"P1007","2016-07",6
"P1009","2014-10",1
"P101","2013-02",154
"P101","2013-03",403
"P101","2013-04",2344
"P101","2013-05",155
"P101","2013-06",488
"P101","2013-07",114
"P101","2013-08",189
"P101","2013-09",379
"P101","2013-10",216
"P101","2013-11",177
"P101","2013-12",1590
"P101","2014-01",126
"P101","2014-02",10311
"P101","2014-03",1499
"P101","2014-04",171
"P101","2014-05",324
"P101","2014-06",198
"P101","2014-07",278
"P101","2014-08",151
"P101","2014-09",129
"P101","2014-10",183
"P101","2014-11",982
"P101","2014-12",527
"P101","2015-01",195
"P101","2015-02",186
