"stat_property","month_edit","no_item","no_user"
"P1","2013-03",1,1
"P10","2013-02",50,20
"P10","2013-03",20,11
"P10","2013-04",6,5
"P10","2013-05",11,2
"P10","2013-06",11,3
"P10","2013-07",11,2
"P10","2013-08",4,4
"P10","2013-09",5,3
"P10","2013-12",1,1
"P10","2014-02",29,4
"P10","2014-03",22,6
"P10","2014-04",7,5
"P10","2014-05",13,4
"P10","2014-06",5,5
"P10","2014-07",6,4
"P10","2014-08",4,2
"P10","2014-09",5,3
"P10","2014-10",53,3
"P10","2014-11",17,12
"P10","2014-12",4,2
"P10","2015-01",17,15
"P10","2015-02",10,6
"P10","2015-03",11,10
"P10","2015-04",14,5
"P10","2015-05",10,7
"P10","2015-06",4,4
"P10","2015-07",15,9
"P10","2015-08",26,8
"P10","2015-09",177,7
"P10","2015-10",55,10
"P10","2015-11",27,8
"P10","2015-12",30,11
"P10","2016-01",9,8
"P10","2016-02",19,9
"P10","2016-03",11,9
"P10","2016-04",19,8
"P10","2016-05",28,15
"P10","2016-06",18,6
"P10","2016-07",17,8
"P10","2016-08",14,12
"P10","2016-09",14,6
"P100","2013-02",28,14
"P100","2013-03",6,6
"P100","2013-04",11,4
"P100","2013-05",1,2
"P100","2013-06",6,5
"P100","2013-07",1,1
"P100","2013-08",2,2
"P1000","2013-11",1,1
"P1000","2013-12",1,1
"P1000","2014-08",1,1
"P1000","2015-05",35,1
"P1000","2015-06",1,1
"P1000","2015-10",2,2
"P1000","2016-05",22,3
"P1000","2016-07",1,1
"P1000","2016-08",2,1
"P1000","2016-09",1,1
"P1001","2013-10",98,1
"P1001","2013-11",368,7
"P1001","2013-12",127,10
"P1001","2014-01",122,10
"P1001","2014-02",64,12
"P1001","2014-03",2913,11
"P1001","2014-04",41,11
"P1001","2014-05",2,2
"P1001","2014-06",18,7
"P1001","2014-07",15,6
"P1001","2014-08",15,10
"P1001","2014-09",48,6
"P1001","2014-10",29,9
"P1001","2014-11",54,13
"P1001","2014-12",21,9
"P1001","2015-01",65,12
"P1001","2015-02",20,13
"P1001","2015-03",70,17
"P1001","2015-04",59,12
"P1001","2015-05",167,22
"P1001","2015-06",183,25
"P1001","2015-07",48,15
"P1001","2015-08",304,21
"P1001","2015-09",2051,30
"P1001","2015-10",337,32
"P1001","2015-11",546,29
"P1001","2015-12",355,25
"P1001","2016-01",308,37
"P1001","2016-02",123,32
"P1001","2016-03",228,36
"P1001","2016-04",285,42
"P1001","2016-05",467,45
"P1001","2016-06",523,37
"P1001","2016-07",351,47
"P1001","2016-08",12571,42
"P1001","2016-09",2571,52
"P1001","2016-10",16,4
"P1002","2013-10",20,2
"P1002","2013-11",178,1
"P1002","2013-12",26,1
"P1002","2014-01",8,1
"P1002","2014-02",14,1
"P1002","2014-03",16,1
"P1002","2014-04",8,1
"P1002","2014-06",1,1
"P1002","2014-09",58,1
"P1002","2014-10",1,1
"P1002","2014-11",1,1
"P1002","2015-02",12,2
"P1002","2015-04",10,2
"P1002","2015-05",1,1
"P1002","2015-06",3,3
"P1002","2015-07",15,1
"P1002","2015-08",11,2
"P1002","2015-09",9,2
"P1002","2015-10",6,4
"P1002","2015-11",1,1
"P1002","2015-12",1,1
"P1002","2016-01",3,1
"P1002","2016-02",1,1
"P1002","2016-03",21,3
"P1002","2016-04",2,2
"P1002","2016-05",2,2
"P1002","2016-06",5,2
"P1002","2016-07",1,1
"P1002","2016-08",4,3
"P1002","2016-09",14,4
"P1003","2013-10",64,5
"P1003","2013-11",10,1
"P1003","2014-02",1,1
"P1003","2014-04",1,1
"P1003","2015-11",79,14
"P1003","2015-12",80,11
"P1003","2016-01",47,14
"P1003","2016-02",23,10
"P1003","2016-03",34,11
"P1003","2016-04",75,14
"P1003","2016-05",44,9
"P1003","2016-06",21,9
"P1003","2016-07",14,9
"P1003","2016-08",309,14
"P1003","2016-09",51,13
"P1003","2016-10",2,1
"P1004","2013-10",7,2
"P1004","2013-11",6,4
"P1004","2014-03",4,4
"P1004","2014-05",3,1
"P1004","2014-06",1430,6
"P1004","2014-07",78,2
"P1004","2014-08",102,3
"P1004","2014-09",64,2
"P1004","2014-10",1,1
"P1004","2014-11",2,1
"P1004","2014-12",4,2
"P1004","2015-01",501,3
"P1004","2015-02",54,3
"P1004","2015-03",105,4
"P1004","2015-04",73,2
"P1004","2015-05",147,3
"P1004","2015-06",120,4
"P1004","2015-07",80,2
"P1004","2015-08",125,3
"P1004","2015-09",26,5
"P1004","2015-10",4,4
"P1004","2015-11",342,2
"P1004","2015-12",1,1
"P1004","2016-01",1,1
"P1004","2016-02",1,1
"P1004","2016-03",544,3
"P1004","2016-04",121,3
"P1004","2016-05",54,1
"P1004","2016-06",1,1
"P1004","2016-07",3,2
"P1005","2013-10",70,4
"P1005","2013-11",251,11
"P1005","2013-12",133,10
"P1005","2014-01",188,17
"P1005","2014-02",103,16
"P1005","2014-03",141,15
"P1005","2014-04",176,19
"P1005","2014-05",225,18
"P1005","2014-06",165,15
"P1005","2014-07",450,17
"P1005","2014-08",324,16
"P1005","2014-09",362,17
"P1005","2014-10",245,17
"P1005","2014-11",168,21
"P1005","2014-12",142,20
"P1005","2015-01",194,26
"P1005","2015-02",99,24
"P1005","2015-03",1075,28
"P1005","2015-04",127,20
"P1005","2015-05",303,28
"P1005","2015-06",331,24
"P1005","2015-07",538,29
"P1005","2015-08",447,33
"P1005","2015-09",284,33
"P1005","2015-10",295,36
"P1005","2015-11",262,33
"P1005","2015-12",226,29
"P1005","2016-01",159,36
"P1005","2016-02",124,28
"P1005","2016-03",203,27
"P1005","2016-04",343,39
"P1005","2016-05",252,27
"P1005","2016-06",131,37
"P1005","2016-07",103,28
"P1005","2016-08",374,39
"P1005","2016-09",180,38
"P1005","2016-10",6,5
"P1006","2013-10",243,8
"P1006","2013-11",885,17
"P1006","2013-12",546,22
"P1006","2014-01",439,25
"P1006","2014-02",352,22
"P1006","2014-03",496,28
"P1006","2014-04",694,31
"P1006","2014-05",638,31
"P1006","2014-06",455,29
"P1006","2014-07",861,24
"P1006","2014-08",793,29
"P1006","2014-09",1008,35
"P1006","2014-10",771,31
"P1006","2014-11",808,41
"P1006","2014-12",111782,47
"P1006","2015-01",546,66
"P1006","2015-02",492,76
"P1006","2015-03",6237,67
"P1006","2015-04",456,68
"P1006","2015-05",1219,75
"P1006","2015-06",1768,73
"P1006","2015-07",1918,76
"P1006","2015-08",1164,76
"P1006","2015-09",1235,72
"P1006","2015-10",1085,88
"P1006","2015-11",925,87
"P1006","2015-12",821,71
"P1006","2016-01",663,75
"P1006","2016-02",614,77
"P1006","2016-03",723,79
"P1006","2016-04",1022,99
"P1006","2016-05",623,83
"P1006","2016-06",549,89
"P1006","2016-07",600,96
"P1006","2016-08",1073,92
"P1006","2016-09",787,96
"P1006","2016-10",27,17
"P1007","2013-10",1,1
"P1007","2013-11",2,2
"P1007","2014-12",3,1
"P1007","2015-04",1,1
"P1007","2015-08",1,1
"P1007","2015-10",2,1
"P1007","2016-05",2,1
"P1007","2016-07",6,1
"P1009","2014-10",1,1
"P101","2013-02",86,35
"P101","2013-03",324,66
"P101","2013-04",1940,48
"P101","2013-05",119,43
"P101","2013-06",186,46
"P101","2013-07",77,36
"P101","2013-08",144,30
"P101","2013-09",346,37
"P101","2013-10",171,38
"P101","2013-11",89,34
"P101","2013-12",1546,31
"P101","2014-01",106,38
"P101","2014-02",10262,40
"P101","2014-03",1463,45
"P101","2014-04",130,46
"P101","2014-05",263,54
"P101","2014-06",129,29
"P101","2014-07",252,40
"P101","2014-08",132,39
"P101","2014-09",94,47
"P101","2014-10",129,50
"P101","2014-11",894,50
"P101","2014-12",465,50
"P101","2015-01",137,52
"P101","2015-02",130,50
"P101","2015-03",128,42
"P101","2015-04",112,48
"P101","2015-05",109,49
"P101","2015-06",162,50
"P101","2015-07",385,63
"P101","2015-08",231,78
"P101","2015-09",442,72
"P101","2015-10",226,83
"P101","2015-11",401,72
"P101","2015-12",161,67
"P101","2016-01",344,79
"P101","2016-02",330,75
"P101","2016-03",262,86
"P101","2016-04",197,65
"P101","2016-05",268,67
"P101","2016-06",268,77
"P101","2016-07",188,62
"P101","2016-08",151,67
"P101","2016-09",260,86
"P101","2016-10",74,6
"P1010","2014-09",8,2
"P1010","2016-02",1,1
"P1011","2015-10",1,1
"P1012","2013-11",4,1
"P1012","2013-12",1,1
